 EXPORTACIONES E IMPORTACIONES AGRARIAS SEGÚN AÑO ENERO MAYO 2013 2017,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Variables,Exportacion e impportacion 2013,Expoprtacion e impportacion2014,Exportacion e importyacion2015,Exportacion e importacion 2016,Exportacion e impportacion2017r,Variacion % 2013/ 2012,Variacion % 2014/ 2013,Variacion  % 2015/ 2014,Variacion % 2016/ 2015,Variacion % 2017/ 2016,
,EXPORTACIONES,,,,,,,,,,
Masa Neta (t),"880,074","1,063,540","994,266","1,096,946","1,201,552",9.5,20.8,-6.5,10.3,9.5,
Valor FOB (Miles USD),"1,433,001","1,778,227","1,788,700","1,876,446","2,031,780",1.6,24.1,0.6,4.9,8.3,
,,,,,,,,,,,
,IMPORTACIONES,,,,,,,,,,
Masa Neta (t),"2,614,757","3,172,441","3,350,563","4,189,838","4,437,980",-1.8,21.3,5.6,25.0,5.9,
Valor CIF (Miles USD),"1,745,312","1,895,560","1,789,620","1,891,900","2,071,213",1.9,8.6,-5.6,5.7,9.5,
r  Revisada,,,,,,,,,,,
Fuente: Superintendencia Nacional de Aduanas y de Administración Tributaria ,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
